	PA3423
GSM546264.CEL	0.081959
GSM546265.CEL	0.012509
GSM546266.CEL	0.35206
GSM546267.CEL	0.40424
GSM546268.CEL	0.62964
GSM546269.CEL	0.24095
GSM546270.CEL	0.12591
GSM546271.CEL	0.74395
GSM546272.CEL	0.65563
GSM546273.CEL	0.66259
GSM546274.CEL	0.47598
GSM546275.CEL	0.85421
GSM546276.CEL	0.62745
GSM546277.CEL	0.18828
GSM546278.CEL	0.041798
GSM546279.CEL	0.67596
GSM546280.CEL	0.46928
GSM546281.CEL	0.95929
GSM551147.CEL	0.0028452
GSM551148.CEL	0.80867
GSM551149.CEL	0.59945
GSM551150.CEL	0.59995
GSM551151.CEL	0.53341
GSM551152.CEL	0.9474
GSM560754.CEL	0.1374
GSM560755.CEL	0.30315
GSM560756.CEL	0.10322
GSM560757.CEL	0.732
GSM560758.CEL	0.73626
GSM560759.CEL	0.098518
GSM562109_PAK_GI_colonization_2_6-9-04.CEL	0.67115
GSM562110_PAK_GI_colonization_4_6-9-04.CEL	0.05402
GSM562111_PAK_GI_colonization_5-12-04.CEL	0.72817
GSM562112_Koh_PAK_H2O_1.CEL	0.75247
GSM562113_Koh_PAK_H2O_2.CEL	0.83079
GSM562114_Koh_PAK_H2O_3.CEL	0.30048
GSM567541.CEL	0.65162
GSM567542.CEL	0.98331
GSM567543.CEL	0.84858
GSM567544.CEL	0.026763
GSM567666.CEL	0.055365
GSM567667.CEL	0.44371
GSM567668.CEL	0.66017
GSM567669.CEL	0.83711
GSM567670.CEL	0.28902
GSM567671.CEL	0.25333
GSM567672.CEL	0.88996
GSM567673.CEL	0.18167
GSM567674.CEL	0.85219
GSM567675.CEL	0.29383
GSM567676.CEL	0.55185
GSM567677.CEL	0.45226
GSM567678.CEL	0.78845
GSM567679.CEL	0.18805
GSM567680.CEL	0.06128
GSM567681.CEL	0.85486
GSM567682.CEL	0.19758
GSM567683.CEL	0.067994
GSM567684.CEL	0.7734
GSM567685.CEL	0.089357
GSM567686.CEL	0.89369
GSM567687.CEL	0.51562
GSM567688.CEL	0.33102
GSM567689.CEL	0.97951
GSM567690.CEL	0.053415
GSM567691.CEL	0.70582
GSM567692.CEL	0.4929
GSM567693.CEL	0.31522
GSM567694.CEL	0.60508
GSM567695.CEL	0.35127
GSM573322.CEL	0.37466
GSM573323.CEL	0.69784
GSM573324.CEL	0.0070494
GSM573325.CEL	0.15017
GSM573326.CEL	0.15079
GSM573327.CEL	0.86691
GSM591496.CEL	0.76032
GSM591601.CEL	0.9713
GSM591602.CEL	0.66781
GSM591603.CEL	0.17277
GSM591622.CEL	0.16853
GSM591623.CEL	0.64927
GSM591624.CEL	0.0979
GSM591625.CEL	0.58354
GSM591627.CEL	0.96256
GSM596626.CEL	0.71123
GSM596819.CEL	0.91253
GSM597216.CEL	0.5492
GSM597217.CEL	0.18563
GSM597218.CEL	0.49723
GSM597219.CEL	0.36696
GSM597220.CEL	0.81266
GSM597221.CEL	0.28456
GSM597329.CEL	0.72768
GSM597330.CEL	0.00058259
GSM597331.CEL	0.94029
GSM610406.CEL	0.091915
GSM610407.CEL	0.072226
GSM617286.CEL	0.57702
GSM617287.CEL	0.81274
GSM617288.CEL	0.49841
GSM617289.CEL	0.18665
GSM617290.CEL	0.34298
GSM617291.CEL	0.41888
GSM617292.CEL	0.62328
GSM617293.CEL	0.4561
GSM617294.CEL	0.46355
GSM617295.CEL	0.18406
GSM617296.CEL	0.14009
GSM617297.CEL	0.60043
GSM617298.CEL	0.02727
GSM617299.CEL	0.24928
GSM617300.CEL	0.092915
GSM617301.CEL	0.22277
GSM625973.CEL	0.20587
GSM625974.CEL	0.88703
GSM625975.CEL	0.21157
GSM625976.CEL	0.72113
GSM625977.CEL	0.1861
GSM625978.CEL	0.52169
GSM625979.CEL	0.99254
GSM625980.CEL	0.62004
GSM625981.CEL	0.095739
GSM625982.CEL	0.79643
GSM629176.CEL	0.74071
GSM629177.CEL	0.76032
GSM629178.CEL	0.62265
GSM629179.CEL	0.87056
GSM637573.CEL	0.49239
GSM637574.CEL	0.64562
GSM637575.CEL	0.82755
GSM637576.CEL	0.40744
GSM637577.CEL	0.03187
GSM637578.CEL	0.15343
GSM637579.CEL	0.63815
GSM637580.CEL	0.74858
GSM637581.CEL	0.6194
GSM637582.CEL	0.83112
GSM637583.CEL	0.86099
GSM637584.CEL	0.45967
GSM637585.CEL	0.80217
GSM637586.CEL	0.18045
GSM637587.CEL	0.87425
GSM637588.CEL	0.29367
GSM637589.CEL	0.11292
GSM637590.CEL	0.35374
GSM637591.CEL	0.10933
GSM637592.CEL	0.97535
GSM637593.CEL	0.98741
GSM637594.CEL	0.90963
GSM637595.CEL	0.64412
GSM637596.CEL	0.81629
GSM637597.CEL	0.027429
GSM637598.CEL	0.2509
GSM641845.CEL	0.92205
GSM641846.CEL	0.98754
GSM641847.CEL	0.82369
GSM641848.CEL	0.075205
GSM641849.CEL	0.99141
GSM663161_03_mix_1wP_Pae_5-10-07_S2.CEL	0.65155
GSM663162_Pae-Mix-1_5-22-07_S2.CEL	0.68157
GSM663163_04_Pae_5-10-07_S2.CEL	0.93451
GSM663164_Pae_5-22-07_S2.CEL	0.80568
GSM663168_BM-Mix-Pa_1_6-6-08_s1.CEL	0.86136
GSM663169_BM-Mix-Pa_2_6-6-08_s1.CEL	0.96689
GSM663170_Pa_label_cDNA_5-13-08_s2.CEL	0.34315
GSM685447.CEL	0.035253
GSM685448.CEL	0.34378
GSM685449.CEL	0.20924
GSM685450.CEL	0.39962
GSM698080.CEL	0.9512
GSM698081.CEL	0.80049
GSM711446.CEL	0.38252
GSM711447.CEL	0.034031
GSM711448.CEL	0.5585
GSM711449.CEL	0.25784
GSM711450.CEL	0.83221
GSM711451.CEL	0.21243
GSM711452.CEL	0.26893
GSM711453.CEL	0.5967
GSM711454.CEL	0.51836
GSM711455.CEL	0.5546
GSM717419.CEL	0.59881
GSM717420.CEL	0.48684
GSM717421.CEL	0.85914
GSM717422.CEL	0.4115
GSM717423.CEL	0.94372
GSM717424.CEL	0.20772
GSM735748_PA14_WT.CEL	0.93665
GSM735749_PA14_WT_adenosine.CEL	0.74146
GSM738261.CEL	0.95884
GSM738262.CEL	0.88822
GSM738263.CEL	0.56692
GSM738264.CEL	0.18095
GSM738265.CEL	0.18202
GSM738266.CEL	0.08085
GSM740019.CEL	0.048476
GSM740020.CEL	0.4675
GSM741203.CEL	0.069302
GSM741204.CEL	0.99381
GSM741205.CEL	0.046865
GSM741206.CEL	0.78728
GSM741207.CEL	0.47592
GSM741208.CEL	0.47363
GSM741209.CEL	0.063585
GSM741210.CEL	0.51528
GSM741211.CEL	0.94061
GSM741212.CEL	0.70235
GSM741213.CEL	0.98259
GSM741214.CEL	0.75431
GSM743001_PAO1-PC4-a.CEL	0.47897
GSM743002_PAO1-PC4-b.CEL	0.47593
GSM743003_PAO1-PC4-c.CEL	0.52798
GSM743004_PAO1-PC24-a.CEL	0.79712
GSM743005_PAO1-PC24-b.CEL	0.62968
GSM743006_PAO1-PC24-c.CEL	0.78831
GSM743007_PAO1-SC24-a.CEL	0.29487
GSM743008_PAO1-SC24-b.CEL	0.25957
GSM743009_PAO1-SC24-c.CEL	0.82195
GSM767700.CEL	0.1735
GSM767701.CEL	0.1111
GSM767702.CEL	0.6194
GSM767703.CEL	0.74437
GSM767704.CEL	0.5714
GSM767705.CEL	0.94482
GSM774085_CF30-1979a.CEL	0.43425
GSM774086_CF30-1979b.CEL	0.68332
GSM774087_CF30-1979c.CEL	0.22312
GSM774088_CF43-1973a.CEL	0.51935
GSM774089_CF43-1973b.CEL	0.40743
GSM774090_CF43-1973c.CEL	0.32435
GSM774091_CF66-1973a.CEL	0.85773
GSM774092_CF66-1973b.CEL	0.87364
GSM774093_CF66-1973c.CEL	0.50644
GSM774094_CF66-1992a.CEL	0.0050687
GSM774095_CF66-1992b.CEL	0.10528
GSM774096_CF66-1992c.CEL	0.76141
GSM774097_CF66-2008a.CEL	0.8454
GSM774098_CF66-2008b.CEL	0.64866
GSM774099_CF66-2008c.CEL	0.13961
GSM774100_CF105-1973a.CEL	0.36838
GSM774101_CF105-1973b.CEL	0.49989
GSM774102_CF105-1973c.CEL	0.97174
GSM774103_CF114-1973a.CEL	0.053541
GSM774104_CF114-1973b.CEL	0.7084
GSM774105_CF114-1973c.CEL	0.0068769
GSM774106_CF173-1984a.CEL	0.90535
GSM774107_CF173-1984b.CEL	0.1313
GSM774108_CF173-1984c.CEL	0.69653
GSM774109_CF173-2002a.CEL	0.13279
GSM774110_CF173-2002b.CEL	0.11255
GSM774111_CF173-2002c.CEL	0.38653
GSM774112_CF173-2005a.CEL	0.12952
GSM774113_CF173-2005b.CEL	0.47307
GSM774114_CF173-2005c.CEL	0.60504
GSM774115_CF243-2002a.CEL	0.4282
GSM774116_CF243-2002b.CEL	0.14151
GSM774117_CF243-2002c.CEL	0.94165
GSM774118_CF333-1991a.CEL	0.95816
GSM774119_CF333-1991b.CEL	0.76925
GSM774120_CF333-1991c.CEL	0.55677
GSM774121_CF333-1997a.CEL	0.79835
GSM774122_CF333-1997b.CEL	0.51457
GSM774123_CF333-1997c.CEL	0.9871
GSM774124_CF333-2003a.CEL	0.78604
GSM774125_CF333-2003b.CEL	0.3744
GSM774126_CF333-2003c.CEL	0.95021
GSM774127_CF333-2005a.CEL	0.72715
GSM774128_CF333-2005b.CEL	0.064698
GSM774129_CF333-2005c.CEL	0.1223
GSM774130_CF333-2007a.CEL	0.76718
GSM774131_CF333-2007b.CEL	0.042814
GSM774132_CF333-2007c.CEL	0.058345
GSM774133_B6-0_1.CEL	0.71146
GSM774134_B6-0_2.CEL	0.66185
GSM774135_B6-0_3.CEL	0.90002
GSM774136_B6-4_1.CEL	0.7068
GSM774137_B6-4_2.CEL	0.15688
GSM774138_B6-4_3.CEL	0.95938
GSM774139_B12-0_1.CEL	0.12933
GSM774140_B12-0_2.CEL	0.9666
GSM774141_B12-0_3.CEL	0.79751
GSM774142_B12-4_1.CEL	0.13927
GSM774143_B12-4_2.CEL	0.050967
GSM774144_B12-4_3.CEL	0.67535
GSM774145_B12-7_1.CEL	0.091626
GSM774146_B12-7_2.CEL	0.30977
GSM774147_B12-7_3.CEL	0.10255
GSM774148_B38-1_1.CEL	0.55739
GSM774149_B38-1_2.CEL	0.066616
GSM774150_B38-1_3.CEL	0.5737
GSM774151_B38-2M_1.CEL	0.90082
GSM774152_B38-2M_2.CEL	0.54984
GSM774153_B38-2M_3.CEL	0.90623
GSM774154_B38-2NM_1.CEL	0.81089
GSM774155_B38-2NM_2.CEL	0.32672
GSM774156_B38-2NM_3.CEL	0.016127
GSM774157_B38-6M_1.CEL	0.1684
GSM774158_B38-6M_2.CEL	0.71586
GSM774159_B38-6M_3.CEL	0.65466
GSM774160_PAO1a.CEL	0.0912
GSM774161_PAO1b.CEL	0.62331
GSM774162_PAO1c.CEL	0.37476
GSM794226_A27.CEL	0.37614
GSM794227_A28.CEL	0.60893
GSM794228_A29.CEL	0.5862
GSM794229_A30.CEL	0.77874
GSM794230_A31.CEL	0.10007
GSM794231_A32.CEL	0.85937
GSM807322.CEL	0.73996
GSM807323.CEL	0.49095
GSM807324.CEL	0.50002
GSM807325.CEL	0.0079695
GSM807326.CEL	0.88023
GSM807327.CEL	0.79785
GSM821084_HZI0139_Pae_G1a.CEL	0.075821
GSM821085_HZI0140_Pae_G1a.CEL	0.63736
GSM821086_HZI0141_Pae_G1a.CEL	0.77586
GSM821087_HZI0142_Pae_G1a.CEL	0.0028104
GSM821088_HZI0143_Pae_G1a.CEL	0.88064
GSM821089_HZI0144_Pae_G1a.CEL	0.70126
GSM821090_HZI0145_Pae_G1a.CEL	0.45249
GSM821091_HZI0146_Pae_G1a.CEL	0.94841
GSM821092_HZI0148_Pae_G1a.CEL	0.8238
GSM821093_HZI0149_Pae_G1a.CEL	0.46431
GSM821094_HZI0147_Pae_G1a.CEL	0.42515
GSM821095_HZI0150_Pae_G1a.CEL	0.60917
GSM821495.CEL	0.55242
GSM821496.CEL	0.95363
GSM821497.CEL	0.17607
GSM821498.CEL	0.7781
GSM821499.CEL	0.21315
GSM821500.CEL	0.28122
GSM821501.CEL	0.23935
GSM821502.CEL	0.49313
GSM821503.CEL	0.3749
GSM821504.CEL	0.47392
GSM821505.CEL	0.49933
GSM821506.CEL	0.13399
GSM822689_wtBSM_A.CEL	0.57188
GSM822690_wtBSM_B.CEL	0.92931
GSM822691_delta_crcBSM_A.CEL	0.62867
GSM822692_delta_crcBSM_B.CEL	0.61621
GSM822693_delta_cbrBBSM_A.CEL	0.55215
GSM822694_delta_cbrBBSM_B.CEL	0.94251
GSM822695_delta_crcZBSM_A.CEL	0.90735
GSM822696_delta_crcZBSM_B.CEL	0.89666
GSM822708_wtLB_A.CEL	0.51508
GSM822709_wtLB_B.CEL	0.43366
GSM822710_delta_crcLB_A.CEL	0.049364
GSM822711_delta_crcLB_B.CEL	0.3246
GSM822712_delta_cbrBLB_A.CEL	0.92674
GSM822713_delta_cbrBLB_B.CEL	0.19256
GSM822714_delta_crcZLB_A.CEL	0.10093
GSM822715_delta_crcZLB_B.CEL	0.60856
GSM823341.CEL	0.66014
GSM823342.CEL	0.25993
GSM823343.CEL	0.84362
GSM823344.CEL	0.27729
GSM823345.CEL	0.71331
GSM823346.CEL	0.021501
GSM823347.CEL	0.14025
GSM823348.CEL	0.36837
GSM838206_OXYR-LB-1_Pae_G1a.CEL	0.47465
GSM838207_OXYR-LB-2_Pae_G1a.CEL	0.97184
GSM838208_OXYR-LB-4_Pae_G1a.CEL	0.581
GSM838209_OXYR-PM-1_Pae_G1a.CEL	0.88848
GSM838210_OXYR-PM-3_Pae_G1a.CEL	0.64177
GSM838211_OXYR-PM-4_Pae_G1a.CEL	0.82792
GSM838212_PAO1-LB-1_Pae_G1a.CEL	0.96247
GSM838213_PAO1-LB-2_Pae_G1a.CEL	0.35689
GSM838214_PAO1-LB-3_Pae_G1a.CEL	0.3395
GSM838215_PAO1-PM-1_Pae_G1a.CEL	0.022507
GSM838216_PAO1-PM-3_Pae_G1a.CEL	0.96182
GSM838217_PAO1-PM-4_Pae_G1a.CEL	0.43917
GSM838218_PAO1-5344-1_Pae_G1a.CEL	0.97628
GSM838219_PAO1-5344-3_Pae_G1a.CEL	0.81322
GSM838220_PAO1-5344-4_Pae_G1a.CEL	0.99576
GSM842839_Wright_1_WT-log-1_Pae_G1a.CEL	0.94704
GSM842840_Wright_2_WT-log-2_Pae_G1a.CEL	0.57246
GSM842841_Wright_3_WT-log-3_Pae_G1a.CEL	0.16766
GSM842842_Wright_4_WT-stat-1_Pae_G1a.CEL	0.58581
GSM842843_Wright_5_WT-stat-2_Pae_G1a.CEL	0.98865
GSM842844_Wright_6_WT-stat-3_Pae_G1a.CEL	0.30264
GSM842845_Wright_7_4203-log-1_Pae_G1a.CEL	0.9344
GSM842846_Wright_8_4203-log-2_Pae_G1a.CEL	0.97246
GSM842847_Wright_9_4203-log-3_Pae_G1a.CEL	0.094272
GSM842848_Wright_10_4203-stat-1_Pae_G1a.CEL	0.45036
GSM842849_Wright_11_4203-stat-2_Pae_G1a.CEL	0.69932
GSM842850_Wright_12_4203-stat-3_Pae_G1a.CEL	0.15376
GSM854792.CEL	0.027924
GSM854793.CEL	0.25524
GSM854794.CEL	0.33006
GSM854795.CEL	0.12056
GSM854796.CEL	0.13124
GSM854797.CEL	0.22514
GSM854798.CEL	0.25846
GSM854799.CEL	0.30301
GSM854800.CEL	0.97185
GSM854801.CEL	0.96256
GSM856031_PA01.CEL	0.95665
GSM856032_PA01+V12.CEL	0.75286
GSM864516.CEL	0.92606
GSM864517.CEL	0.52732
GSM864518.CEL	0.97664
GSM864519.CEL	0.24378
GSM864520.CEL	0.9505
GSM864521.CEL	0.37058
GSM865129_schurr_5511_Pae_G1a_.CEL	0.55426
GSM865130_schurr_5511_1_Pae_G1a_.CEL	0.68469
GSM865131_schurr_5511_3_Pae_G1a_.CEL	0.42946
GSM871963.CEL	0.19301
GSM871964.CEL	0.95287
GSM871965.CEL	0.35166
GSM871966.CEL	0.47879
GSM871967.CEL	0.11121
GSM871968.CEL	0.07222
GSM871969.CEL	0.37016
GSM871970.CEL	0.59078
GSM871971.CEL	0.67334
GSM871972.CEL	0.2909
GSM871973.CEL	0.69413
GSM871974.CEL	0.40744
GSM871975.CEL	0.89004
GSM871976.CEL	0.13298
GSM871977.CEL	0.27794
GSM871978.CEL	0.77073
GSM897995_MHH0094_Pae_G1a.CEL	0.41758
GSM897996_MHH0095_Pae_G1a.CEL	0.11696
GSM897997_MHH0106_Pae_G1a.CEL	0.8952
GSM897998_MHH0107_Pae_G1a.CEL	0.84188
GSM897999_MHH0110_Pae_G1a.CEL	0.7596
GSM898000_MHH0111_Pae_G1a.CEL	0.45952
GSM898001_MHH0122_Pae_G1a.CEL	0.5738
GSM898002_MHH0123_Pae_G1a.CEL	0.74058
GSM900177_F1_Pae_G1a_.CEL	0.38911
GSM900178_C1_Pae_G1a_.CEL	0.94341
GSM900179_F2_Pae_G1a_.CEL	0.10137
GSM900180_C2_Pae_G1a_.CEL	0.30031
GSM900181_F3_Pae_G1a_.CEL	0.016473
GSM900182_C3_Pae_G1a_.CEL	0.55932
GSM92164.CEL	0.93875
GSM92165.CEL	0.77131
GSM92166.CEL	0.29399
GSM92167.CEL	0.89959
GSM92168.CEL	0.6092
GSM92169.CEL	0.91011
GSM92170.CEL	0.21963
GSM92171.CEL	0.98524
GSM92172.CEL	0.95684
GSM92173.CEL	0.2057
GSM92174.CEL	0.73629
GSM92175.CEL	0.17947
GSM92176.CEL	0.41787
GSM92177.CEL	0.18495
GSM92178.CEL	0.56411
GSM92179.CEL	0.39022
GSM92180.CEL	0.1005
GSM92181.CEL	0.25301
GSM92182.CEL	0.21025
GSM92183.CEL	0.36374
GSM92184.CEL	0.73784
GSM92185.CEL	0.54871
GSM92186.CEL	0.11881
GSM92188.CEL	0.11169
GSM92189.CEL	0.28955
GSM92190.CEL	0.47248
GSM92191.CEL	0.41858
GSM92192.CEL	0.97371
GSM92193.CEL	0.77102
GSM954576_Nomura_PA01-1_Pae_G1a_.CEL	0.5367
GSM954577_Nomura_PA01-2_Pae_G1a_.CEL	0.94747
GSM954578_Nomura_PA01-3_Pae_G1a_.CEL	0.4217
GSM954579_Nomura_PA01-4_Pae_G1a_.CEL	0.61055
GSM954580_Nomura_PA2449-1_Pae_G1a_.CEL	0.63387
GSM954581_Nomura_PA2449-2_Pae_G1a_.CEL	0.29201
GSM954582_Nomura_PA2449-3_Pae_G1a_.CEL	0.37639
GSM954583_Nomura_PA2449-4_Pae_G1a_.CEL	0.71951
GSM980539_MHH1372.CEL	0.16228
GSM980540_MHH1373.CEL	0.89992
GSM980541_MHH1376.CEL	0.73811
GSM980542_MHH1377.CEL	0.53173
GSM994496_PAO1-replicate-01.CEL	0.396
GSM994497_PAO1-replicate-02.CEL	0.85568
GSM994498_PAO1-replicate-03.CEL	0.97143
GSM994499_HM4-replicate-01.CEL	0.96751
GSM994500_HM4-replicate-02.CEL	0.0022297
GSM994501_HM4-replicate-03.CEL	0.21492
H_1.CEL	0.89645
H_3.CEL	0.68121
H_5.CEL	0.17229
HH-PA14_7-6-09_7-8-09_s1.CEL	0.31742
JS-1B4.9.07.CEL	0.11234
JS-A164.9.07.CEL	0.278
JS-A84.9.07.CEL	0.10375
JS-G164.9.07.CEL	0.024744
JS-G84.18.07.CEL	0.075892
JS-T24.9.07.CEL	0.54725
KP_PA14_5-28_5-30-08_s2.CEL	0.57724
L_12.CEL	0.0007074
L_13.CEL	0.14599
L_14.CEL	0.17141
MBU_JGOLD_pakA1.CEL	0.62032
MBU_JGOLD_pakA2.CEL	0.89377
MBU_JGOLD_PAO11.CEL	0.36404
MBU_JGOLD_PAO12.CEL	0.98052
MBU_PAER_pak1.CEL	0.69681
MBU_PAER_pak2.CEL	0.40182
MBU_PAER_PT51.CEL	0.60951
MBU_PAER_PT52.CEL	0.45983
MSC_01.CEL	0.0044816
MSC_02.CEL	0.095927
MSC_03.CEL	0.59184
MSC_04.CEL	0.39183
MSC_05.CEL	0.80198
MSC_06.CEL	0.38845
MSC_07.CEL	0.098612
MSC_08.CEL	0.84395
MSC_09.CEL	0.38065
MSC_10.CEL	0.3328
Nag_cDNA_1-30-09_S2.CEL	0.28741
Nag_cDNA_2-26-09_s1.CEL	0.30029
Overhage10001_Pae_G1a.CEL	0.57097
Overhage10002_Pae_G1a.CEL	0.95557
Overhage10003_Pae_G1a.CEL	0.93895
Overhage10004_Pae_G1a.CEL	0.73467
Overhage11001_Pae_G1a.CEL	0.5949
Overhage11002_Pae_G1a.CEL	0.0093522
Overhage13001_(Pae_G1a).CEL	0.8017
Overhage13002_(Pae_G1a).CEL	0.069075
Overhage13003_(Pae_G1a).CEL	0.78544
Overhage13004_(Pae_G1a).CEL	0.85661
Overhage3002_(Pae_G1a).CEL	0.335
Overhage3004_(Pae_G1a).CEL	0.61026
Overhage3005_(Pae_G1a).CEL	0.099778
Overhage3006_(Pae_G1a).CEL	0.24144
Overhage5001_Pae_G1a.CEL	0.77007
Overhage5002_Pae_G1a.CEL	0.44923
PA01_Control_1.CEL	0.94652
PA14_3-23-07_s2.CEL	0.18686
PA14_cDNA_labeled_4-09-08_S2.CEL	0.16758
PA14-Aro_10-5-07_s2.CEL	0.098687
Pae_Fe02_13.CEL	0.60384
Pae_Fe02_14.CEL	0.4994
Pae_Fe02_15.CEL	0.89657
Pae_Fe03_16.CEL	0.3644
Pae_Fe03_17.CEL	0.42725
Pae_Fe03_18.CEL	0.22285
Pae_noFe_10.CEL	0.68118
Pae_noFe_11.CEL	0.22727
Pae_noFe_12.CEL	0.70042
PAO1_Control_1.CEL	0.069501
SJ01_Treated_1.CEL	0.020959
SJ16_Treated_1.CEL	0.61595
Tob1_aerobic_wdh_Pae_G1a.CEL	0.94427
Tob1_anaerobic_Pae_G1a.CEL	0.36989
Tob2_aerobic_wdh_Pae_G1a.CEL	0.56935
Tob2_anaerobic_Pae_G1a.CEL	0.50165
Tob3_anaerobic_Pae_G1a.CEL	0.28286
Tob3aerobic_Pae_G1a.CEL	0.29358
TUBS0088.CEL	0.29017
TUBS0089.CEL	0.80633
TUBS0090.CEL	0.26715
TUBS0091.CEL	0.31485
TUBS0092.CEL	0.68348
TUBS0093.CEL	0.53807
TUBS0094.CEL	0.62107
TUBS0095.CEL	0.61614
TUBS0096.CEL	0.5456
Van_Delden_Kohler_0311_BAL6_1.CEL	0.25322
Van_Delden_Kohler_0311_BAL6_2.CEL	0.17334
Van_Delden_Kohler_0311_BAL6_3.CEL	0.78762
Van_Delden_Kohler_0311_BAL6+_1.CEL	0.86994
Van_Delden_Kohler_0311_BAL6+_2.CEL	0.73546
Van_Delden_Kohler_0311_BAL6+_3.CEL	0.31507
Van_Delden_Kohler_0311_PT5_1.CEL	0.57892
Van_Delden_Kohler_0311_PT5_2.CEL	0.24354
Van_Delden_Kohler_0311_PT5_3.CEL	0.084389
WT12935-18-05.CEL	0.1449
WT12935-4-05.CEL	0.89447
