cel_file	medium
MBU_PAER_pak2.CEL	M9 + 2% glucose
MBU_PAER_PT51.CEL	M9 + 2% glucose
MBU_PAER_PT52.CEL	M9 + 2% glucose
GSM187265.CEL	M9 + citrate
GSM187266.CEL	M9 + citrate
GSM187267.CEL	M9 + citrate
GSM187270.CEL	M9 + citrate
GSM187281.CEL	M9 + citrate
GSM187282.CEL	M9 + citrate
GSM198186.CEL	M9 + palmitate
GSM198187.CEL	M9 + palmitate
GSM198188.CEL	M9 + palmitate
GSM198189.CEL	M9 + phosphatidylcholine
GSM198190.CEL	M9 + phosphatidylcholine
GSM198191.CEL	M9 + phosphatidylcholine
GSM429472.CEL	mAB
GSM429475.CEL	mAB
GSM429476.CEL	mAB
GSM429477.CEL	mAB
GSM429478.CEL	mAB
GSM429479.CEL	mAB
GSM429480.CEL	mAB
GSM429481.CEL	mAB
GSM1267086_HZI1981_G1a.CEL	Medium C
GSM1267087_HZI1950_Pae_G1a.CEL	Medium C
GSM1267088_HZI1951_Pae_G1a.CEL	Medium C
GSM1267089_HZI1952_Pae_G1a.CEL	Medium C
GSM1267090_HZI1953a_Pae_G1a.CEL	Medium C
GSM1267091_HZI1954_Pae_G1a.CEL	Medium C
GSM1267092_HZI1955_Pae_G1a.CEL	Medium C
GSM1267093_HZI1956_Pae_G1a.CEL	Medium C
GSM1267094_HZI1958_Pae_G1a.CEL	Medium C
GSM1267095_HZI1959_Pae_G1a.CEL	Medium C
GSM1267096_HZI1960a_Pae_G1a.CEL	Medium C
GSM1267097_HZI1961_Pae_G1a.CEL	Medium C
GSM1267098_HZI1962_Pae_G1a.CEL	Medium C
GSM1267099_HZI1963_Pae_G1a.CEL	Medium C
GSM1267100_HZI1966_Pae_G1a.CEL	Medium C
GSM1267101_HZI1967_Pae_G1a.CEL	Medium C
GSM1267102_HZI1968_Pae_G1a.CEL	Medium C
GSM1267103_HZI1969_Pae_G1a.CEL	Medium C
GSM1267104_HZI1970_Pae_G1a.CEL	Medium C
GSM1267105_HZI1971_Pae_G1a.CEL	Medium C
GSM1267106_HZI1972_Pae_G1a.CEL	Medium C
GSM1267107_HZI1973_Pae_G1a.CEL	Medium C
GSM1267108_HZI1974_G1a.CEL	Medium C
GSM1267109_HZI1975_G1a.CEL	Medium C
GSM1267110_HZI1976_G1a.CEL	Medium C
GSM1267111_HZI1977_G1a.CEL	Medium C
GSM1267112_HZI1978_G1a.CEL	Medium C
GSM1267113_HZI1979_G1a.CEL	Medium C
GSM252496.CEL	MEM + 0 .4% arginine
GSM252501.CEL	MEM + 0 .4% arginine
GSM252505.CEL	MEM + 0 .4% arginine
GSM252506.CEL	MEM + 0 .4% arginine
GSM252507.CEL	MEM + 0 .4% arginine
GSM252508.CEL	MEM + 0 .4% arginine
GSM252496.CEL	MEM + 0 .4% arginine
GSM252501.CEL	MEM + 0 .4% arginine
GSM252505.CEL	MEM + 0 .4% arginine
GSM252506.CEL	MEM + 0 .4% arginine
GSM252507.CEL	MEM + 0 .4% arginine
GSM252508.CEL	MEM + 0 .4% arginine
GSM252559.CEL	MEM + 2% LB
GSM252560.CEL	MEM + 2% LB
GSM252561.CEL	MEM + 2% LB
GSM252562.CEL	MEM + 2% LB
GSM252559.CEL	MEM + 2% LB
GSM252560.CEL	MEM + 2% LB
GSM252561.CEL	MEM + 2% LB
GSM252562.CEL	MEM + 2% LB
GSM334310.CEL	MH
GSM334311.CEL	MH
GSM334312.CEL	MH
GSM334313.CEL	MH
GSM334314.CEL	MH
GSM334315.CEL	MH
GSM807322.CEL	MH
GSM807323.CEL	MH
GSM807324.CEL	MH
GSM807325.CEL	MH
GSM807326.CEL	MH
Overhage11001_Pae_G1a.CEL	MH
Overhage11002_Pae_G1a.CEL	MH
Overhage5001_Pae_G1a.CEL	MH
Overhage5002_Pae_G1a.CEL	MH
GSM807327.CEL	MH 
control1_anaerobic_Pae_G1a.CEL	MH + 100 mM nitrate
control1aerobic_Pae_G1a.CEL	MH + 100 mM nitrate
control2_anaerobic_Pae_G1a.CEL	MH + 100 mM nitrate
control2aerobic_Pae_G1a.CEL	MH + 100 mM nitrate
control3_anaerobic_Pae_G1a.CEL	MH + 100 mM nitrate
control3aerobic_Pae_G1a.CEL	MH + 100 mM nitrate
fos1_anaerobic_Pae_G1a.CEL	MH + 100 mM nitrate
fos1aerobic_Pae_G1a.CEL	MH + 100 mM nitrate
fos2_anaerobic_Pae_G1a.CEL	MH + 100 mM nitrate
fos2aerobic_Pae_G1a.CEL	MH + 100 mM nitrate
Fos3_aerobic_wdh_Pae_G1a.CEL	MH + 100 mM nitrate
fos3_anaerobic_Pae_G1a.CEL	MH + 100 mM nitrate
FT1_anaerobic_Pae_G1a.CEL	MH + 100 mM nitrate
FT1aerobic_Pae_G1a.CEL	MH + 100 mM nitrate
FT2_aerobic_wdh_Pae_G1a.CEL	MH + 100 mM nitrate
FT2_anaerobic_Pae_G1a.CEL	MH + 100 mM nitrate
FT3_anaerobic_Pae_G1a.CEL	MH + 100 mM nitrate
FT3aerobic_Pae_G1a.CEL	MH + 100 mM nitrate
Tob1_aerobic_wdh_Pae_G1a.CEL	MH + 100 mM nitrate
Tob1_anaerobic_Pae_G1a.CEL	MH + 100 mM nitrate
Tob2_aerobic_wdh_Pae_G1a.CEL	MH + 100 mM nitrate
Tob2_anaerobic_Pae_G1a.CEL	MH + 100 mM nitrate
Tob3_anaerobic_Pae_G1a.CEL	MH + 100 mM nitrate
Tob3aerobic_Pae_G1a.CEL	MH + 100 mM nitrate
0.1_12hr_CSV86(Pae_G1a).CEL	Mineral salt medium (MSM) 
0.1_2hr_CSV86(Pae_G1a).CEL	Mineral salt medium (MSM) 
0.1_6hr_CSV86(Pae_G1a).CEL	Mineral salt medium (MSM) 
0.1_7hr_CSV86(Pae_G1a).CEL	Mineral salt medium (MSM) 
0.1_9hr_CSV86(Pae_G1a).CEL	Mineral salt medium (MSM) 
1_12hr_CSV86(Pae_G1a).CEL	Mineral salt medium (MSM) 
1_2hr_CSV86(Pae_G1a).CEL	Mineral salt medium (MSM) 
1_6hr_CSV86(Pae_G1a).CEL	Mineral salt medium (MSM) 
1_7hr_CSV86(Pae_G1a).CEL	Mineral salt medium (MSM) 
1_9hr_CSV86(Pae_G1a).CEL	Mineral salt medium (MSM) 
DB1.CEL	Minimal medium J + 1.8 mM glutamate
DB3.CEL	Minimal medium J + 1.8 mM glutamate
DC1.CEL	Minimal medium J + 1.8 mM glutamate
DC2.CEL	Minimal medium J + 1.8 mM glutamate
DC3.CEL	Minimal medium J + 1.8 mM glutamate
GSM717419.CEL	Minimal medium J + 10 mM glutamate
GSM717420.CEL	Minimal medium J + 10 mM glutamate
GSM717421.CEL	Minimal medium J + 10 mM glutamate
GSM717422.CEL	Minimal medium J + 10 mM glutamate
GSM717423.CEL	Minimal medium J + 10 mM glutamate
GSM717424.CEL	Minimal medium J + 10 mM glutamate
GSM717419.CEL	Minimal medium J + 10 mM glutamate
GSM717420.CEL	Minimal medium J + 10 mM glutamate
GSM717421.CEL	Minimal medium J + 10 mM glutamate
GSM865129_schurr_5511_Pae_G1a_.CEL	Minimal medium J + 10 mM glutamate
GSM865130_schurr_5511_1_Pae_G1a_.CEL	Minimal medium J + 10 mM glutamate
GSM865131_schurr_5511_3_Pae_G1a_.CEL	Minimal medium J + 10 mM glutamate
GSM208602.CEL	MM K + succinate + amino acids
GSM208603.CEL	MM K + succinate + amino acids
GSM208604.CEL	MM K + succinate + amino acids
GSM208605.CEL	MM K + succinate + amino acids
GSM208606.CEL	MM K + succinate + amino acids
GSM208607.CEL	MM K + succinate + amino acids
GSM208608.CEL	MM K + succinate + amino acids
GSM208609.CEL	MM K + succinate + amino acids
GSM208610.CEL	MM K + succinate + amino acids
GSM208611.CEL	MM K + succinate + amino acids
GSM208612.CEL	MM K + succinate + amino acids
GSM208613.CEL	MM K + succinate + amino acids
GSM208614.CEL	MM K + succinate + amino acids
GSM208615.CEL	MM K + succinate + amino acids
GSM208616.CEL	MM K + succinate + amino acids
GSM208617.CEL	MM K + succinate + amino acids
GSM208618.CEL	MM K + succinate + amino acids
GSM208619.CEL	MM K + succinate + amino acids
GSM208620.CEL	MM K + succinate + amino acids
GSM208621.CEL	MM K + succinate + amino acids
GSM1181847_gc_WT1_1.CEL	MMC + glycine
GSM1181848_gc_WT2_3.CEL	MMC + glycine
GSM1181849_gc_Delta1_2.CEL	MMC + glycine
GSM1181850_gc_Delta2_4.CEL	MMC + glycine
Pae_Fe02_13.CEL	MMM + 50 mM glutamate + 1% glycerol + 100 mM nitrate
Pae_Fe02_14.CEL	MMM + 50 mM glutamate + 1% glycerol + 100 mM nitrate
Pae_Fe02_15.CEL	MMM + 50 mM glutamate + 1% glycerol + 100 mM nitrate
Pae_Fe03_16.CEL	MMM + 50 mM glutamate + 1% glycerol + 100 mM nitrate
Pae_Fe03_17.CEL	MMM + 50 mM glutamate + 1% glycerol + 100 mM nitrate
Pae_Fe03_18.CEL	MMM + 50 mM glutamate + 1% glycerol + 100 mM nitrate
Pae_noFe_10.CEL	MMM + 50 mM glutamate + 1% glycerol + 100 mM nitrate
Pae_noFe_11.CEL	MMM + 50 mM glutamate + 1% glycerol + 100 mM nitrate
Pae_noFe_12.CEL	MMM + 50 mM glutamate + 1% glycerol + 100 mM nitrate
GSM251201.CEL	MMP + 20 mM glutamate
GSM251203.CEL	MMP + 20 mM glutamate + 20 mM agmatine
GSM251204.CEL	MMP + 20 mM glutamate + 20 mM agmatine
GSM251205.CEL	MMP + 20 mM glutamate + 20 mM GABA
GSM251202.CEL	MMP + 20 mM glutamate + 20 mM putrescine
GSM251206.CEL	MMP + 20 mM glutamate + 20 mM putrescine
AKGlu_plus_nt_7-8-09_s1.CEL	MOPS + glucose
glu_plus_nt_2_8-25-09_s2.CEL	MOPS + glucose
Nag_cDNA_1-30-09_S2.CEL	MOPS + N-acetyl glucosamine
Nag_cDNA_2-26-09_s1.CEL	MOPS + N-acetyl glucosamine
GSM1146022_pJN105_1.CEL	MOPS + 0.5% CAA + 0.5% glucose
GSM1146023_pJN105_2.CEL	MOPS + 0.5% CAA + 0.5% glucose
GSM1146024_phaF_1.CEL	MOPS + 0.5% CAA + 0.5% glucose
GSM1146025_phaF_2.CEL	MOPS + 0.5% CAA + 0.5% glucose
anaerobic_NO3_1.CEL	MOPS + 10% CF sputum + 100mM nitrate
anaerobic_NO3_1.CEL	MOPS + 10% CF sputum + 100mM nitrate
anaerobic_NO3_2.CEL	MOPS + 10% CF sputum + 100mM nitrate
anaerobic_NO3_2.CEL	MOPS + 10% CF sputum + 100mM nitrate
GSM1206643_WT-PYR-1.CEL	MOPS + 20 mM pyruvate
GSM1206644_WT-PYR-2.CEL	MOPS + 20 mM pyruvate
GSM1206645_WT-CHO-1.CEL	MOPS + 20 mM pyruvate 
GSM1206646_WT-CHO-2.CEL	MOPS + 20 mM pyruvate 
GSM1206647_WT-DTC-1.CEL	MOPS + 20 mM pyruvate 
GSM1206648_WT-DTC-2.CEL	MOPS + 20 mM pyruvate 
GSM1206649_WT-ETC-1.CEL	MOPS + 20 mM pyruvate 
GSM1206650_WT-ETC-2.CEL	MOPS + 20 mM pyruvate 
GSM1206651_WT-PRC-1.CEL	MOPS + 20 mM pyruvate 
GSM1206652_WT-PRC-2.CEL	MOPS + 20 mM pyruvate 
GSM1206653_dgcA-CHO-1.CEL	MOPS + 20 mM pyruvate 
GSM1206654_dgcA-CHO-2.CEL	MOPS + 20 mM pyruvate 
GSM1191066_sphR-pyr-1.CEL	MOPS + 20 mM pyruvate 
GSM1191067_sphR-pyr-2.CEL	MOPS + 20 mM pyruvate 
GSM1191068_sphR-surf-1.CEL	MOPS + 20 mM pyruvate 
GSM1191069_sphR-surf-2.CEL	MOPS + 20 mM pyruvate 
GSM1191070_WT-pyr-1.CEL	MOPS + 20 mM pyruvate 
GSM1191071_WT-pyr-2.CEL	MOPS + 20 mM pyruvate 
GSM1191072_WT-surf-1.CEL	MOPS + 20 mM pyruvate 
GSM1191073_WT-surf-2.CEL	MOPS + 20 mM pyruvate 
GSM462352.CEL	MOPS + 6.3 mM Glucose
GSM462353.CEL	MOPS + 6.3 mM Glucose
GSM663165_Mix_label_cDNA_5-13-08_s2.CEL	MOPS + N-acetyl glucosamine
GSM663166_BM-Mix-Ec2_6-6-08_s1.CEL	MOPS + N-acetyl glucosamine
GSM663167_Ec_label_cDNA_5-13-08_s2.CEL	MOPS + N-acetyl glucosamine
GSM663168_BM-Mix-Pa_1_6-6-08_s1.CEL	MOPS + N-acetyl glucosamine
GSM663169_BM-Mix-Pa_2_6-6-08_s1.CEL	MOPS + N-acetyl glucosamine
GSM663170_Pa_label_cDNA_5-13-08_s2.CEL	MOPS + N-acetyl glucosamine
GSM1027584_062508WT.CEL	MOPS + pyruvate + lung surfactant
GSM1027585_071008WT.CEL	MOPS + pyruvate + lung surfactant
GSM1027586_062508plcHR.CEL	MOPS + pyruvate + lung surfactant
GSM1027587_071008plcHR.CEL	MOPS + pyruvate + lung surfactant
GSM1027588_062508gbdR.CEL	MOPS + pyruvate + lung surfactant
GSM1027589_071008gbdR.CEL	MOPS + pyruvate + lung surfactant
GSM567672.CEL	Murine tumor
GSM567673.CEL	Murine tumor
GSM567682.CEL	Murine tumor
GSM567683.CEL	Murine tumor
GSM567692.CEL	Murine tumor
GSM567693.CEL	Murine tumor
GSM562109_PAK_GI_colonization_2_6-9-04.CEL	Murine cecum
GSM562110_PAK_GI_colonization_4_6-9-04.CEL	Murine cecum
GSM562111_PAK_GI_colonization_5-12-04.CEL	Murine cecum
GSM637593.CEL	Murine tumor
GSM637594.CEL	Murine tumor
GSM637595.CEL	Murine tumor
GSM637596.CEL	Murine tumor
GSM637597.CEL	Murine tumor
GSM637598.CEL	Murine tumor
GSM823341.CEL	NGM 
GSM823342.CEL	NGM 
GSM823343.CEL	NGM 
GSM823344.CEL	NGM 
GSM823345.CEL	NGM 
GSM823346.CEL	NGM 
GSM823347.CEL	NGM 
GSM823348.CEL	NGM 
GSM767703.CEL	NGM + <0.1  mM phosphate
GSM767704.CEL	NGM + <0.1  mM phosphate
GSM767705.CEL	NGM + <0.1  mM phosphate
GSM738261.CEL	NGM + 25 mM phosphate
GSM738262.CEL	NGM + 25 mM phosphate
GSM738263.CEL	NGM + 25 mM phosphate
GSM738264.CEL	NGM + 25 mM phosphate
GSM738265.CEL	NGM + 25 mM phosphate
GSM738266.CEL	NGM + 25 mM phosphate
GSM767700.CEL	NGM + 25 mM phosphate
GSM767701.CEL	NGM + 25 mM phosphate
GSM767702.CEL	NGM + 25 mM phosphate
GSM1306125_Nomura_PAO1_NS-1_Pae_G1a_.CEL	Nutrient broth
GSM1306126_Nomura_PAO1_NS-2_Pae_G1a_.CEL	Nutrient broth
GSM1306127_Nomura_PAO1_NS-3_Pae_G1a_.CEL	Nutrient broth
GSM1306128_Nomura_PAO1_KG-1_Pae_G1a_.CEL	Nutrient broth
GSM1306129_Nomura_PAO1_KG-2_Pae_G1a_.CEL	Nutrient broth
GSM1306130_Nomura_PAO1_KG-3_Pae_G1a_.CEL	Nutrient broth
GSM711446.CEL	NY
GSM711447.CEL	NY
GSM711448.CEL	NY
GSM711449.CEL	NY
GSM711450.CEL	NY
GSM711451.CEL	NY
GSM711452.CEL	NY
GSM711453.CEL	NY
GSM711454.CEL	NY
GSM711455.CEL	NY
GSM551147.CEL	PBM + 0.02% glucose
GSM551148.CEL	PBM + 0.02% glucose
GSM551149.CEL	PBM + 0.02% glucose
GSM551150.CEL	PBM + 0.02% glucose
GSM551151.CEL	PBM + 0.02% glucose
GSM551152.CEL	PBM + 0.02% glucose
GSM1608067_Biofilm+12hrcipro_rep1.CEL	PBM + 0.02% glucose
GSM1608068_Biofilm+12hrcipro_rep2.CEL	PBM + 0.02% glucose
GSM1608069_Biofilm+12hrcipro_rep3.CEL	PBM + 0.02% glucose
GSM1608070_Biofilm+12hrtobra_rep1.CEL	PBM + 0.02% glucose
GSM1608071_Biofilm+12hrtobra_rep2.CEL	PBM + 0.02% glucose
GSM1608072_Biofilm+12hrtobra_rep3.CEL	PBM + 0.02% glucose
GSM1608067_Biofilm+12hrcipro_rep1.CEL	PBM + 0.02% glucose
GSM1608068_Biofilm+12hrcipro_rep2.CEL	PBM + 0.02% glucose
GSM1608069_Biofilm+12hrcipro_rep3.CEL	PBM + 0.02% glucose
GSM1608070_Biofilm+12hrtobra_rep1.CEL	PBM + 0.02% glucose
GSM1608071_Biofilm+12hrtobra_rep2.CEL	PBM + 0.02% glucose
GSM1608072_Biofilm+12hrtobra_rep3.CEL	PBM + 0.02% glucose
GSM1608059_Planktonic_1.CEL	PBM + 0.1% glucose
GSM1608060_Planktonic_2.CEL	PBM + 0.1% glucose
GSM1608061_Planktonic_3.CEL	PBM + 0.1% glucose
GSM1608062_Planktonic_4.CEL	PBM + 0.1% glucose
GSM1608059_Planktonic_1.CEL	PBM + 0.1% glucose
GSM1608060_Planktonic_2.CEL	PBM + 0.1% glucose
GSM1608061_Planktonic_3.CEL	PBM + 0.1% glucose
GSM1608062_Planktonic_4.CEL	PBM + 0.1% glucose
GSM1553187_Persisters_C1.CEL	PBS
GSM1553188_Persisters_T1.CEL	PBS
GSM1553189_Persisters_C2.CEL	PBS
GSM1553190_Persisters_T2.CEL	PBS
GSM1553191_Normal_C1.CEL	PBS
GSM1553192_Normal_T1.CEL	PBS
GSM1553193_Normal_C2.CEL	PBS
GSM1553194_Normal_T2.CEL	PBS
GSM954576_Nomura_PA01-1_Pae_G1a_.CEL	Peptone
GSM954577_Nomura_PA01-2_Pae_G1a_.CEL	Peptone
GSM954578_Nomura_PA01-3_Pae_G1a_.CEL	Peptone
GSM954579_Nomura_PA01-4_Pae_G1a_.CEL	Peptone
GSM954580_Nomura_PA2449-1_Pae_G1a_.CEL	Peptone
GSM954581_Nomura_PA2449-2_Pae_G1a_.CEL	Peptone
GSM954582_Nomura_PA2449-3_Pae_G1a_.CEL	Peptone
GSM954583_Nomura_PA2449-4_Pae_G1a_.CEL	Peptone
GSM864516.CEL	PIA
GSM864517.CEL	PIA
GSM864518.CEL	PIA
GSM864519.CEL	PIA
GSM864520.CEL	PIA
GSM864521.CEL	PIA
GSM1177842_PAO1-1.CEL	PIA
GSM1177843_PAO1-2.CEL	PIA
GSM1177844_PAO1-3.CEL	PIA
GSM1177845_PAO1-AMV-1.CEL	PIA
GSM1177846_PAO1-AMV-2.CEL	PIA
GSM1177847_PAO1-AMV-3.CEL	PIA
GSM567674.CEL	Plant intracellular fluid
GSM567675.CEL	Plant intracellular fluid
GSM567684.CEL	Plant intracellular fluid
GSM567685.CEL	Plant intracellular fluid
GSM567694.CEL	Plant intracellular fluid
GSM567695.CEL	Plant intracellular fluid
GSM290747.CEL	Plant intracellular fluid 
GSM290748.CEL	Plant intracellular fluid 
GSM290749.CEL	Plant intracellular fluid 
GSM290750.CEL	Plant intracellular fluid 
GSM290751.CEL	Plant intracellular fluid 
GSM290752.CEL	Plant intracellular fluid 
H_1.CEL	Plant root exudate 
H_3.CEL	Plant root exudate 
H_5.CEL	Plant root exudate 
L_12.CEL	Plant root exudate 
L_13.CEL	Plant root exudate 
L_14.CEL	Plant root exudate 
GSM1112046_PGAS_25_1A.CEL	PPGAS 
GSM1112047_PGAS_25_2A.CEL	PPGAS 
GSM1112048_PGAS_25_4A.CEL	PPGAS 
GSM1112049_PGAS_37_1B.CEL	PPGAS 
GSM1112050_PGAS_37_2B.CEL	PPGAS 
GSM1112051_PGAS_37_3A.CEL	PPGAS 
GSM625973.CEL	Pseudomonas F
GSM625974.CEL	Pseudomonas F
GSM625975.CEL	Pseudomonas F
GSM625976.CEL	Pseudomonas F
GSM625977.CEL	Pseudomonas F
GSM625978.CEL	Pseudomonas F
GSM625979.CEL	Pseudomonas F
GSM625980.CEL	Pseudomonas F
GSM625981.CEL	Pseudomonas F
GSM625982.CEL	Pseudomonas F
GSM1133188_Weiqing_He_D-Glu-1_021810.CEL	Pyruvate minimal media + 10 mM D-glucose
GSM1133191_Weiqing_He_D-Glu-2_022410.CEL	Pyruvate minimal media + 10 mM D-glucose
GSM1133187_Weiqing_He_L-Arg-1_021810.CEL	Pyruvate minimal media + 10 mM L-arginine
GSM1133190_Weiqing_He_L-Arg-2_022410.CEL	Pyruvate minimal media + 10 mM L-arginine
GSM1133186_Weiqing_He_L-Glu-1_021810.CEL	Pyruvate minimal media + 10 mM L-glutamate
GSM1133189_Weiqing_He_L-Glu-2_022410.CEL	Pyruvate minimal media + 10 mM L-glutamate
GSM596626.CEL	QSM + 0.1% Adenosine 
GSM596819.CEL	QSM + 0.1% Adenosine 
GSM335182.CEL	RPMI + serum
GSM335183.CEL	RPMI + serum
GSM366976.CEL	RPMI + serum
GSM366977.CEL	RPMI + serum
GSM541642.CEL	RPMI 1640 
GSM541643.CEL	RPMI 1640 
GSM541646.CEL	RPMI 1640 
GSM541647.CEL	RPMI 1640 
GSM155240.CEL	SCFM 
GSM155241.CEL	SCFM 
GSM155242.CEL	SCFM 
GSM155243.CEL	SCFM 
GSM155244.CEL	SCFM 
GSM155245.CEL	SCFM 
GSM155231.CEL	SCFM + 100 mM nitrate
GSM155239.CEL	SCFM + 100 mM nitrate
GSM546244.CEL	SCFM + lactate + glucose
GSM546245.CEL	SCFM + lactate + glucose
GSM546246.CEL	SCFM + lactate + glucose
GSM546247.CEL	SCFM + lactate + glucose
GSM546248.CEL	SCFM + lactate + glucose
GSM546249.CEL	SCFM + lactate + glucose
GSM546250.CEL	SCFM + lactate + glucose
GSM546251.CEL	SCFM + lactate + glucose
GSM546252.CEL	SCFM + lactate + glucose
GSM546253.CEL	SCFM + lactate + glucose
GSM546254.CEL	SCFM + lactate + glucose
GSM546255.CEL	SCFM + lactate + glucose
GSM546256.CEL	SCFM + lactate + glucose
GSM546257.CEL	SCFM + lactate + glucose
GSM546258.CEL	SCFM + lactate + glucose
GSM546259.CEL	SCFM + lactate + glucose
GSM546260.CEL	SCFM + lactate + glucose
GSM546261.CEL	SCFM + lactate + glucose
GSM546262.CEL	SCFM + lactate + glucose
GSM546263.CEL	SCFM + lactate + glucose
GSM546264.CEL	SCFM + lactate + glucose
GSM546265.CEL	SCFM + lactate + glucose
GSM546266.CEL	SCFM + lactate + glucose
GSM546267.CEL	SCFM + lactate + glucose
GSM546268.CEL	SCFM + lactate + glucose
GSM546269.CEL	SCFM + lactate + glucose
GSM546270.CEL	SCFM + lactate + glucose
GSM546271.CEL	SCFM + lactate + glucose
GSM546272.CEL	SCFM + lactate + glucose
GSM546273.CEL	SCFM + lactate + glucose
GSM546274.CEL	SCFM + lactate + glucose
GSM546275.CEL	SCFM + lactate + glucose
GSM546276.CEL	SCFM + lactate + glucose
GSM546277.CEL	SCFM + lactate + glucose
GSM546278.CEL	SCFM + lactate + glucose
GSM546279.CEL	SCFM + lactate + glucose
GSM546280.CEL	SCFM + lactate + glucose
GSM546281.CEL	SCFM + lactate + glucose
05_PA14000-4-2_5-10-07_S2.CEL	SCFM + lactate + glucose
GPphhRminus_11-30-09_12-3-09_s1.CEL	SCFM + lactate + glucose
GPphhRminus_11-4-09_s2.CEL	SCFM + lactate + glucose
HH-PA14_7-6-09_7-8-09_s1.CEL	SCFM + lactate + glucose
KP_PA14_5-28_5-30-08_s2.CEL	SCFM + lactate + glucose
PA14_3-23-07_s2.CEL	SCFM + lactate + glucose
PA14_cDNA_labeled_4-09-08_S2.CEL	SCFM + lactate + glucose
PA14-Aro_10-5-07_s2.CEL	SCFM + lactate + glucose
GSM175247.CEL	Synthetic wastewater
GSM175248.CEL	Synthetic wastewater
GSM854792.CEL	TS
GSM854793.CEL	TS
GSM854794.CEL	TS
GSM854795.CEL	TS
GSM854796.CEL	TS
GSM854797.CEL	TS
GSM854798.CEL	TS
GSM854799.CEL	TS
GSM854800.CEL	TS
GSM854801.CEL	TS
54375-4-05.CEL	TS
dPA54375-18-05.CEL	TS
WT12935-18-05.CEL	TS
WT12935-4-05.CEL	TS
GSM1517347_MK-1.CEL	TY
GSM1517348_MK-2.CEL	TY
GSM1517349_MK-3.CEL	TY
GSM1517350_MK-4.CEL	TY
GSM1517351_MK-5.CEL	TY
GSM1517352_MK-6.CEL	TY
GSM562112_Koh_PAK_H2O_1.CEL	Water
GSM562113_Koh_PAK_H2O_2.CEL	Water
GSM562114_Koh_PAK_H2O_3.CEL	Water
